module	trait	nObs	bicor	Z	t	p
firebrick3	father_s_race_base	42	0.077484803617264	0.491041225254436	0.491534709757186	0.625734826304317
firebrick3	father_s_hispanic_base	42	-0.132721108883464	-0.844383409210989	0.846894109546185	0.402092809576992
firebrick3	father_s_education_base	42	0.0441144118456334	0.279185237950109	0.279275917305627	0.781472057218686
firebrick3	father_currently_employed_base	42	0.0291551494685699	0.184445628530957	0.184471774956591	0.85457546171775
firebrick3	low_income	43	-0.0897293366172564	-0.576097545472474	0.576875096219587	0.567177942736632
firebrick3	low_access	43	0.15433314899286	0.996174400115758	1.00019783142813	0.323081527840533
firebrick3	second_hand_base	43	-0.147930805936863	-0.95422099289836	0.957756844473901	0.343799261778834
firebrick3	second_hand_days_base	43	0.0161551848577954	0.103452656385809	0.103457157245776	0.918104556937921
firebrick3	second_hand_rules_base	43	-0.0515629417712705	-0.330456996216629	0.330603708873411	0.742627435280258
firebrick3	PM2.5_7Days_base	42	-0.154996425367551	-0.988248673685758	0.992275080455302	0.327028236051827
firebrick3	PM2.5_30Days_base	42	-0.237044871815208	-1.52827005893397	1.54318621477176	0.130660914155558
firebrick3	PM2.5_90Days_base	42	-0.247660804660694	-1.59960160151556	1.61671015112796	0.11380144377021
firebrick3	PM2.5_7Days_wk26	23	-0.0435729739211172	-0.199802964238102	0.199866274850706	0.843507908165564
firebrick3	PM2.5_30Days_wk26	22	-0.204044016749715	-0.925502491955465	0.932122849980434	0.362389823986182
firebrick3	PM2.5_90Days_wk26	21	-0.339438620969847	-1.54068730572354	1.57296861431887	0.132230586852703
firebrick3	PM2.5_7Days_wk36	23	0.111496243037246	0.513073142293976	0.514145746506561	0.61251838605711
firebrick3	PM2.5_30Days_wk36	23	0.141795269438968	0.654195711011194	0.65642001970599	0.518682793654939
firebrick3	PM2.5_90Days_wk36	22	0.115630905792652	0.519440504756514	0.520609248062736	0.608355031880044
firebrick3	PM2.5_7Days_mth3	23	0.567264714670682	2.94879802657875	3.1565529944726	0.00475926241503325
firebrick3	PM2.5_30Days_mth3	22	0.502179618739873	2.46958744300748	2.5970290719874	0.017237339267677
firebrick3	PM2.5_90Days_mth3	22	0.585960445122318	3.00300340358501	3.23382270397138	0.00416187334940727
firebrick3	PM2.5_7Days_mth6	21	0.0239955273472916	0.104614160320673	0.104624203681762	0.917770580417985
firebrick3	PM2.5_30Days_mth6	20	0.223347612206516	0.96382921985137	0.972141058840211	0.343863909951592
firebrick3	PM2.5_90Days_mth6	20	0.366980994681811	1.63311859314209	1.67374854758733	0.111468330451335
firebrick3	do_any_close_friends_or_re_base	43	0.141079446573927	0.909415072274691	0.912475550870049	0.366852886775569
firebrick3	KCAL_base	40	0.0345542001322939	0.213091231972208	0.213133673190457	0.832362041362702
firebrick3	HEI2015C9_FATTYACID_base	40	0.252936778323667	1.59379593063667	1.61161211680046	0.115322485685682
firebrick3	HEI2015C12_SFAT_base	40	0.297993942664319	1.89442674595157	1.92438725485794	0.0618182654981873
firebrick3	HEI2015_TOTAL_SCORE_base	40	0.325446349654426	2.08188700127083	2.12168974797552	0.0404430593107315
firebrick3	KCAL_wk36	36	-0.0538815065096294	-0.314485047874191	0.314637534938238	0.754959656334546
firebrick3	HEI2015C9_FATTYACID_wk36	36	0.255998847320188	1.52667103556911	1.54417331725527	0.131804121030871
firebrick3	HEI2015C12_SFAT_wk36	36	0.279456257236703	1.67402063951816	1.6971115921564	0.0988130953257562
firebrick3	HEI2015_TOTAL_SCORE_wk36	36	0.240594130697065	1.43094272312443	1.44534875015994	0.157514691156179
firebrick3	KCAL_mth6	24	0.0205908810529941	0.0965934459142549	0.0966002736744084	0.92391845013606
firebrick3	HEI2015C9_FATTYACID_mth6	24	0.264008923519115	1.268348552866	1.28386276163644	0.212547556423448
firebrick3	HEI2015C12_SFAT_mth6	24	0.0989252347866496	0.465523031152215	0.466287682544944	0.645593650893192
firebrick3	HEI2015_TOTAL_SCORE_mth6	24	0.0718326751412588	0.337506416003913	0.337797745596281	0.738717657038779
firebrick3	reap_base	43	-0.0131108371071105	-0.0839551295364983	0.0839575350640427	0.933498799340116
firebrick3	reap_wk26	41	0.0416269806435777	0.260110720715587	0.260185934349292	0.796089147637044
firebrick3	reap_wk36	41	0.149515108455107	0.940774101819159	0.944336422217717	0.350811682208922
firebrick3	reap_mth3	41	-0.0602620652709995	-0.376793029573915	0.377021679871614	0.708201267616527
firebrick3	reap_mth6	42	0.171221509450287	1.09367243129099	1.09913126499847	0.27828246108223
firebrick3	ppaq_total_base	43	-0.0768952967027715	-0.493344038481261	0.493832289829182	0.624059925384201
firebrick3	ppaq_light_base	43	-0.0820816814428196	-0.526764344661153	0.527358720252101	0.600786762746059
firebrick3	ppaq_mod_base	43	-0.10827076513814	-0.695999345708677	0.697370694546555	0.489506678813507
firebrick3	ppaq_house_base	43	-0.107646482709974	-0.691954848751504	0.693302420031459	0.49202889101609
firebrick3	ppaq_total_mth3	41	0.191601222713943	1.21152266079545	1.21913636459541	0.230115001150373
firebrick3	ppaq_light_mth3	41	0.315108092420082	2.03715929595234	2.07348127459318	0.0447788959930656
firebrick3	ppaq_mod_mth3	41	0.00736926167800817	0.0460218575288359	0.0460222740890165	0.963527352723316
firebrick3	ppaq_house_mth3	41	0.144772734854835	0.910502505999032	0.913731662938665	0.366472472918377
firebrick3	ppaq_total_mth6	42	0.0769927545043512	0.487910556319322	0.488394660278299	0.6279371912558
firebrick3	ppaq_light_mth6	42	0.183955334874897	1.17683214651781	1.18363489059861	0.243544300259029
firebrick3	ppaq_mod_mth6	42	0.00290188105440391	0.018353158778519	0.0183531845370685	0.985448343154422
